candidate	Label	SGMCI_score	valid_HiC_candidate	n_supported_edges	supported_edge_fraction	complete_clique_score	anchor_1	anchor_2	anchor_3	edge_1_2_weight	edge_1_2_threshold	edge_1_2_supported	edge_1_3_weight	edge_1_3_threshold	edge_1_3_supported	edge_2_3_weight	edge_2_3_threshold	edge_2_3_supported	interaction_type
(1295, 1297, 1298)	1	0.99845266	False	1	0.3333333333333333	0	chr7:60000000-61000000	chr7:62000000-63000000	chr7:63000000-64000000		0.007356441579759121	False		0.007356441579759121	False	0.07837454229593277	0.007356441579759121	True	cis
(1292, 1295, 1297)	1	0.9984484	False	1	0.3333333333333333	0	chr7:57000000-58000000	chr7:60000000-61000000	chr7:62000000-63000000		0.007356441579759121	False	0.04112093895673752	0.007356441579759121	True		0.007356441579759121	False	cis
(1538, 1539, 1540)	1	0.9984219	False	1	0.3333333333333333	0	chr8:143000000-144000000	chr8:144000000-145000000	chr8:145000000-146000000	0.1308005452156067	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 124, 928)	1	0.9984211	False	0	0.0	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:46000000-47000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(339, 340, 342)	1	0.9984024	False	0	0.0	0	chr2:90000000-91000000	chr2:91000000-92000000	chr2:93000000-94000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1296, 1298, 1300)	1	0.9984024	False	1	0.3333333333333333	0	chr7:61000000-62000000	chr7:63000000-64000000	chr7:65000000-66000000		0.007356441579759121	False		0.007356441579759121	False	0.03327852860093117	0.007356441579759121	True	cis
(1294, 1299, 1300)	0	0.99839836	False	1	0.3333333333333333	0	chr7:59000000-60000000	chr7:64000000-65000000	chr7:65000000-66000000		0.007356441579759121	False		0.007356441579759121	False	0.10608038306236267	0.007356441579759121	True	cis
(339, 340, 341)	1	0.9983929	False	0	0.0	0	chr2:90000000-91000000	chr2:91000000-92000000	chr2:92000000-93000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 123, 1291)	1	0.9983839	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr7:56000000-57000000		0.007356441579759121	False	0.00037708826130256057	0.0012353004098129756	False		0.0012353004098129756	False	trans
(341, 343, 1296)	1	0.99835205	False	0	0.0	0	chr2:92000000-93000000	chr2:94000000-95000000	chr7:61000000-62000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(125, 339, 1293)	1	0.99834085	False	0	0.0	0	chr1:125000000-126000000	chr2:90000000-91000000	chr7:58000000-59000000		0.0012353004098129756	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(2686, 2689, 2693)	1	0.99833184	False	1	0.3333333333333333	0	chr19:21000000-22000000	chr19:24000000-25000000	chr19:28000000-29000000		0.007356441579759121	False	0.013756588101387024	0.007356441579759121	True		0.007356441579759121	False	cis
(125, 339, 1296)	1	0.99832946	False	0	0.0	0	chr1:125000000-126000000	chr2:90000000-91000000	chr7:61000000-62000000		0.0012353004098129756	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(339, 340, 343)	1	0.9983279	False	1	0.3333333333333333	0	chr2:90000000-91000000	chr2:91000000-92000000	chr2:94000000-95000000		0.007356441579759121	False		0.007356441579759121	False	0.023488294333219528	0.007356441579759121	True	cis
(339, 340, 1297)	1	0.9983261	False	1	0.3333333333333333	0	chr2:90000000-91000000	chr2:91000000-92000000	chr7:62000000-63000000		0.007356441579759121	False		0.0012353004098129756	False	0.004040012136101723	0.0012353004098129756	True	trans
(339, 343, 1297)	1	0.998326	False	1	0.3333333333333333	0	chr2:90000000-91000000	chr2:94000000-95000000	chr7:62000000-63000000		0.007356441579759121	False		0.0012353004098129756	False	0.0021723161917179823	0.0012353004098129756	True	trans
(1123, 1124, 1125)	1	0.99830025	False	0	0.0	0	chr6:59000000-60000000	chr6:60000000-61000000	chr6:61000000-62000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(123, 124, 1123)	1	0.99829406	False	0	0.0	0	chr1:123000000-124000000	chr1:124000000-125000000	chr6:59000000-60000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(122, 124, 741)	1	0.9982626	False	0	0.0	0	chr1:122000000-123000000	chr1:124000000-125000000	chr4:50000000-51000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(122, 123, 1863)	1	0.99825627	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr11:49000000-50000000		0.007356441579759121	False	0.00039356620982289314	0.0012353004098129756	False		0.0012353004098129756	False	trans
(1291, 1292, 1296)	1	0.9982405	False	1	0.3333333333333333	0	chr7:56000000-57000000	chr7:57000000-58000000	chr7:61000000-62000000	0.09921907633543015	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(2687, 2688, 2690)	0	0.9982311	False	1	0.3333333333333333	0	chr19:22000000-23000000	chr19:23000000-24000000	chr19:25000000-26000000	0.18975822627544403	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(1123, 1124, 1126)	1	0.9982231	False	0	0.0	0	chr6:59000000-60000000	chr6:60000000-61000000	chr6:62000000-63000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1291, 1295, 1299)	1	0.99820983	False	1	0.3333333333333333	0	chr7:56000000-57000000	chr7:60000000-61000000	chr7:64000000-65000000		0.007356441579759121	False	0.029595501720905304	0.007356441579759121	True		0.007356441579759121	False	cis
(1293, 1297, 1303)	1	0.998192	False	1	0.3333333333333333	0	chr7:58000000-59000000	chr7:62000000-63000000	chr7:68000000-69000000		0.007356441579759121	False		0.007356441579759121	False	0.014658445492386818	0.007356441579759121	True	cis
(1291, 1295, 1300)	1	0.9981895	False	1	0.3333333333333333	0	chr7:56000000-57000000	chr7:60000000-61000000	chr7:65000000-66000000		0.007356441579759121	False	0.011993625201284885	0.007356441579759121	True		0.007356441579759121	False	cis
(1402, 1403, 1439)	1	0.9981857	False	1	0.3333333333333333	0	chr8:7000000-8000000	chr8:8000000-9000000	chr8:44000000-45000000	0.04003220051527023	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 929, 932)	1	0.99818534	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr5:47000000-48000000	chr5:50000000-51000000		0.0012353004098129756	False	0.009574520401656628	0.0012353004098129756	True		0.007356441579759121	False	trans
(122, 1439, 1440)	1	0.9981756	False	0	0.0	0	chr1:122000000-123000000	chr8:44000000-45000000	chr8:45000000-46000000		0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(123, 124, 741)	1	0.9981744	False	0	0.0	0	chr1:123000000-124000000	chr1:124000000-125000000	chr4:50000000-51000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(1122, 1123, 1124)	1	0.9981724	False	0	0.0	0	chr6:58000000-59000000	chr6:59000000-60000000	chr6:60000000-61000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1396, 1439, 1440)	1	0.99817145	False	0	0.0	0	chr8:1000000-2000000	chr8:44000000-45000000	chr8:45000000-46000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1122, 1123, 1125)	1	0.9981654	False	0	0.0	0	chr6:58000000-59000000	chr6:59000000-60000000	chr6:61000000-62000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 123, 908)	1	0.99816173	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:123000000-124000000	chr5:26000000-27000000		0.007356441579759121	False	0.0025712742935866117	0.0012353004098129756	True		0.0012353004098129756	False	trans
(122, 123, 907)	1	0.998156	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:123000000-124000000	chr5:25000000-26000000		0.007356441579759121	False	0.003010751912370324	0.0012353004098129756	True		0.0012353004098129756	False	trans
(1296, 1297, 1303)	1	0.9981511	False	1	0.3333333333333333	0	chr7:61000000-62000000	chr7:62000000-63000000	chr7:68000000-69000000		0.007356441579759121	False		0.007356441579759121	False	0.014658445492386818	0.007356441579759121	True	cis
(1408, 1439, 1440)	1	0.99814487	False	0	0.0	0	chr8:13000000-14000000	chr8:44000000-45000000	chr8:45000000-46000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(2689, 2693, 2697)	1	0.9981395	False	1	0.3333333333333333	0	chr19:24000000-25000000	chr19:28000000-29000000	chr19:32000000-33000000		0.007356441579759121	False		0.007356441579759121	False	0.02515326999127865	0.007356441579759121	True	cis
(1292, 1293, 1306)	1	0.9981388	False	1	0.3333333333333333	0	chr7:57000000-58000000	chr7:58000000-59000000	chr7:71000000-72000000		0.007356441579759121	False	0.01697470247745514	0.007356441579759121	True		0.007356441579759121	False	cis
(490, 1062, 1063)	1	0.99812883	False	1	0.3333333333333333	0	chr2:241000000-242000000	chr5:180000000-181000000	chr5:181000000-182000000	0.0012469147332012653	0.0012353004098129756	True		0.0012353004098129756	False		0.007356441579759121	False	trans
(123, 124, 1865)	1	0.9981218	False	0	0.0	0	chr1:123000000-124000000	chr1:124000000-125000000	chr11:51000000-52000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(1292, 1293, 1305)	1	0.99812084	False	0	0.0	0	chr7:57000000-58000000	chr7:58000000-59000000	chr7:70000000-71000000		0.007356441579759121	False	0.006042634602636099	0.007356441579759121	False		0.007356441579759121	False	cis
(1123, 1125, 1605)	1	0.9981178	False	1	0.3333333333333333	0	chr6:59000000-60000000	chr6:61000000-62000000	chr9:64000000-65000000		0.007356441579759121	False		0.0012353004098129756	False	0.0033251354470849037	0.0012353004098129756	True	trans
(123, 929, 932)	1	0.9981177	False	0	0.0	0	chr1:123000000-124000000	chr5:47000000-48000000	chr5:50000000-51000000		0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(122, 123, 906)	1	0.99811566	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:123000000-124000000	chr5:24000000-25000000		0.007356441579759121	False	0.0027754344046115875	0.0012353004098129756	True		0.0012353004098129756	False	trans
(1397, 1439, 1440)	1	0.99810994	False	0	0.0	0	chr8:2000000-3000000	chr8:44000000-45000000	chr8:45000000-46000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(2689, 2693, 2695)	1	0.9981067	False	1	0.3333333333333333	0	chr19:24000000-25000000	chr19:28000000-29000000	chr19:30000000-31000000		0.007356441579759121	False		0.007356441579759121	False	0.05611659213900566	0.007356441579759121	True	cis
(122, 123, 903)	1	0.9981047	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:123000000-124000000	chr5:21000000-22000000		0.007356441579759121	False	0.0012774987844750285	0.0012353004098129756	True		0.0012353004098129756	False	trans
(122, 123, 2949)	1	0.99808735	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chrX:62000000-63000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(122, 124, 905)	1	0.99807334	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:23000000-24000000		0.007356441579759121	False	0.0019379366422072053	0.0012353004098129756	True		0.0012353004098129756	False	trans
(124, 885, 886)	1	0.99806565	False	1	0.3333333333333333	0	chr1:124000000-125000000	chr5:3000000-4000000	chr5:4000000-5000000		0.0012353004098129756	False		0.0012353004098129756	False	0.15516109764575958	0.007356441579759121	True	trans
(1293, 1300, 1301)	1	0.998064	False	1	0.3333333333333333	0	chr7:58000000-59000000	chr7:65000000-66000000	chr7:66000000-67000000		0.007356441579759121	False		0.007356441579759121	False	0.10567480325698853	0.007356441579759121	True	cis
(1296, 1303, 1304)	1	0.9980635	False	1	0.3333333333333333	0	chr7:61000000-62000000	chr7:68000000-69000000	chr7:69000000-70000000		0.007356441579759121	False		0.007356441579759121	False	0.15083493292331696	0.007356441579759121	True	cis
(122, 124, 904)	1	0.99806255	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:22000000-23000000		0.007356441579759121	False	0.0016333612147718668	0.0012353004098129756	True		0.0012353004098129756	False	trans
(1397, 1399, 1440)	1	0.9980609	False	1	0.3333333333333333	0	chr8:2000000-3000000	chr8:4000000-5000000	chr8:45000000-46000000	0.050565700978040695	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(1293, 1306, 1307)	1	0.9980603	False	1	0.3333333333333333	0	chr7:58000000-59000000	chr7:71000000-72000000	chr7:72000000-73000000		0.007356441579759121	False		0.007356441579759121	False	0.11075696349143982	0.007356441579759121	True	cis
(1291, 1296, 1304)	0	0.9980573	False	1	0.3333333333333333	0	chr7:56000000-57000000	chr7:61000000-62000000	chr7:69000000-70000000		0.007356441579759121	False	0.008992437273263931	0.007356441579759121	True		0.007356441579759121	False	cis
(1292, 1296, 1305)	1	0.9980514	False	0	0.0	0	chr7:57000000-58000000	chr7:61000000-62000000	chr7:70000000-71000000		0.007356441579759121	False	0.006042634602636099	0.007356441579759121	False		0.007356441579759121	False	cis
(343, 1439, 1440)	1	0.9980453	False	0	0.0	0	chr2:94000000-95000000	chr8:44000000-45000000	chr8:45000000-46000000		0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(122, 123, 1439)	1	0.99804026	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr8:44000000-45000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(2685, 2690, 2694)	0	0.99802965	False	1	0.3333333333333333	0	chr19:20000000-21000000	chr19:25000000-26000000	chr19:29000000-30000000		0.007356441579759121	False	0.008100533857941628	0.007356441579759121	True		0.007356441579759121	False	cis
(1293, 1295, 1306)	0	0.99802667	False	0	0.0	0	chr7:58000000-59000000	chr7:60000000-61000000	chr7:71000000-72000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1291, 1293, 1306)	1	0.99801767	False	1	0.3333333333333333	0	chr7:56000000-57000000	chr7:58000000-59000000	chr7:71000000-72000000		0.007356441579759121	False	0.018240652978420258	0.007356441579759121	True		0.007356441579759121	False	cis
(331, 341, 342)	1	0.99801624	False	0	0.0	0	chr2:82000000-83000000	chr2:92000000-93000000	chr2:93000000-94000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(338, 339, 341)	1	0.9980161	False	0	0.0	0	chr2:89000000-90000000	chr2:90000000-91000000	chr2:92000000-93000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1294, 1300, 1301)	0	0.9980089	False	1	0.3333333333333333	0	chr7:59000000-60000000	chr7:65000000-66000000	chr7:66000000-67000000		0.007356441579759121	False		0.007356441579759121	False	0.10567480325698853	0.007356441579759121	True	cis
(122, 124, 888)	1	0.9980038	False	0	0.0	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:6000000-7000000		0.007356441579759121	False	0.000907602661754936	0.0012353004098129756	False		0.0012353004098129756	False	trans
(1296, 1298, 1306)	1	0.9980003	False	1	0.3333333333333333	0	chr7:61000000-62000000	chr7:63000000-64000000	chr7:71000000-72000000		0.007356441579759121	False		0.007356441579759121	False	0.02940383553504944	0.007356441579759121	True	cis
(1295, 1300, 1301)	1	0.9979936	False	1	0.3333333333333333	0	chr7:60000000-61000000	chr7:65000000-66000000	chr7:66000000-67000000		0.007356441579759121	False		0.007356441579759121	False	0.10567480325698853	0.007356441579759121	True	cis
(1290, 1293, 1298)	1	0.99799323	False	1	0.3333333333333333	0	chr7:55000000-56000000	chr7:58000000-59000000	chr7:63000000-64000000		0.007356441579759121	False	0.011524376459419727	0.007356441579759121	True		0.007356441579759121	False	cis
(333, 340, 341)	1	0.9979876	False	1	0.3333333333333333	0	chr2:84000000-85000000	chr2:91000000-92000000	chr2:92000000-93000000	0.008044814690947533	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(1295, 1306, 1307)	1	0.99798644	False	1	0.3333333333333333	0	chr7:60000000-61000000	chr7:71000000-72000000	chr7:72000000-73000000		0.007356441579759121	False		0.007356441579759121	False	0.11075696349143982	0.007356441579759121	True	cis
(1295, 1297, 1306)	1	0.9979837	False	1	0.3333333333333333	0	chr7:60000000-61000000	chr7:62000000-63000000	chr7:71000000-72000000		0.007356441579759121	False		0.007356441579759121	False	0.01617940329015255	0.007356441579759121	True	cis
(330, 339, 341)	1	0.997973	False	0	0.0	0	chr2:81000000-82000000	chr2:90000000-91000000	chr2:92000000-93000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1295, 1296, 1306)	1	0.9979715	False	0	0.0	0	chr7:60000000-61000000	chr7:61000000-62000000	chr7:71000000-72000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 123, 913)	1	0.9979703	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:123000000-124000000	chr5:31000000-32000000		0.007356441579759121	False	0.0017346655949950218	0.0012353004098129756	True		0.0012353004098129756	False	trans
(330, 340, 341)	1	0.99796945	False	1	0.3333333333333333	0	chr2:81000000-82000000	chr2:91000000-92000000	chr2:92000000-93000000	0.009964403696358204	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(2442, 2445, 2474)	1	0.99796766	False	1	0.3333333333333333	0	chr16:33000000-34000000	chr16:36000000-37000000	chr16:65000000-66000000		0.007356441579759121	False	0.007656719069927931	0.007356441579759121	True		0.007356441579759121	False	cis
(124, 928, 932)	1	0.9979668	False	0	0.0	0	chr1:124000000-125000000	chr5:46000000-47000000	chr5:50000000-51000000		0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(1296, 1297, 1305)	1	0.99796236	False	0	0.0	0	chr7:61000000-62000000	chr7:62000000-63000000	chr7:70000000-71000000		0.007356441579759121	False		0.007356441579759121	False	0.00527630839496851	0.007356441579759121	False	cis
(1400, 1440, 1441)	1	0.9979583	False	1	0.3333333333333333	0	chr8:5000000-6000000	chr8:45000000-46000000	chr8:46000000-47000000		0.007356441579759121	False	0.009309755638241768	0.007356441579759121	True		0.007356441579759121	False	cis
(1296, 1306, 1307)	1	0.9979557	False	1	0.3333333333333333	0	chr7:61000000-62000000	chr7:71000000-72000000	chr7:72000000-73000000		0.007356441579759121	False		0.007356441579759121	False	0.11075696349143982	0.007356441579759121	True	cis
(122, 124, 913)	1	0.99794406	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:31000000-32000000		0.007356441579759121	False	0.0017346655949950218	0.0012353004098129756	True		0.0012353004098129756	False	trans
(122, 124, 895)	1	0.99794143	False	0	0.0	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:13000000-14000000		0.007356441579759121	False	0.0011472335318103433	0.0012353004098129756	False		0.0012353004098129756	False	trans
(2689, 2694, 2696)	1	0.99793977	False	1	0.3333333333333333	0	chr19:24000000-25000000	chr19:29000000-30000000	chr19:31000000-32000000		0.007356441579759121	False		0.007356441579759121	False	0.05235094949603081	0.007356441579759121	True	cis
(333, 339, 340)	1	0.9979316	False	1	0.3333333333333333	0	chr2:84000000-85000000	chr2:90000000-91000000	chr2:91000000-92000000		0.007356441579759121	False	0.008044814690947533	0.007356441579759121	True		0.007356441579759121	False	cis
(2685, 2686, 2690)	0	0.9979278	False	1	0.3333333333333333	0	chr19:20000000-21000000	chr19:21000000-22000000	chr19:25000000-26000000	0.2450360357761383	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(1396, 1439, 1442)	1	0.9979215	False	0	0.0	0	chr8:1000000-2000000	chr8:44000000-45000000	chr8:47000000-48000000		0.007356441579759121	False	0.005431593861430883	0.007356441579759121	False		0.007356441579759121	False	cis
(1290, 1294, 1298)	0	0.9979201	False	1	0.3333333333333333	0	chr7:55000000-56000000	chr7:59000000-60000000	chr7:63000000-64000000		0.007356441579759121	False	0.011524376459419727	0.007356441579759121	True		0.007356441579759121	False	cis
(1290, 1296, 1297)	1	0.9979165	False	1	0.3333333333333333	0	chr7:55000000-56000000	chr7:61000000-62000000	chr7:62000000-63000000		0.007356441579759121	False	0.009598656557500362	0.007356441579759121	True		0.007356441579759121	False	cis
(2445, 2470, 2473)	1	0.9979152	False	1	0.3333333333333333	0	chr16:36000000-37000000	chr16:61000000-62000000	chr16:64000000-65000000		0.007356441579759121	False		0.007356441579759121	False	0.03757303208112717	0.007356441579759121	True	cis
(330, 339, 340)	1	0.9979109	False	1	0.3333333333333333	0	chr2:81000000-82000000	chr2:90000000-91000000	chr2:91000000-92000000		0.007356441579759121	False	0.009964403696358204	0.007356441579759121	True		0.007356441579759121	False	cis
(2442, 2443, 2446)	1	0.9979086	False	1	0.3333333333333333	0	chr16:33000000-34000000	chr16:34000000-35000000	chr16:37000000-38000000	0.02012677863240242	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(122, 123, 1122)	1	0.9979006	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr6:58000000-59000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(2523, 2571, 2572)	0	0.9978974	False	1	0.3333333333333333	0	chr17:23000000-24000000	chr17:71000000-72000000	chr17:72000000-73000000		0.007356441579759121	False		0.007356441579759121	False	0.16172567009925842	0.007356441579759121	True	cis
(122, 123, 584)	1	0.9978955	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr3:92000000-93000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(2445, 2469, 2471)	0	0.99788135	False	1	0.3333333333333333	0	chr16:36000000-37000000	chr16:60000000-61000000	chr16:62000000-63000000		0.007356441579759121	False		0.007356441579759121	False	0.07435736060142517	0.007356441579759121	True	cis
(2447, 2688, 2689)	1	0.9978624	False	0	0.0	0	chr16:38000000-39000000	chr19:23000000-24000000	chr19:24000000-25000000		0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(2689, 2696, 2697)	1	0.99785304	False	1	0.3333333333333333	0	chr19:24000000-25000000	chr19:31000000-32000000	chr19:32000000-33000000		0.007356441579759121	False		0.007356441579759121	False	0.10422845184803009	0.007356441579759121	True	cis
(2685, 2689, 2690)	0	0.99785197	False	0	0.0	0	chr19:20000000-21000000	chr19:24000000-25000000	chr19:25000000-26000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(2656, 2688, 2689)	1	0.9978502	False	0	0.0	0	chr18:72000000-73000000	chr19:23000000-24000000	chr19:24000000-25000000	0.00031453382689505816	0.0012353004098129756	False		0.0012353004098129756	False		0.007356441579759121	False	trans
(1289, 1292, 1295)	1	0.99784636	False	1	0.3333333333333333	0	chr7:54000000-55000000	chr7:57000000-58000000	chr7:60000000-61000000	0.020723829045891762	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(2523, 2556, 2557)	0	0.99784625	False	1	0.3333333333333333	0	chr17:23000000-24000000	chr17:56000000-57000000	chr17:57000000-58000000		0.007356441579759121	False		0.007356441579759121	False	0.06360534578561783	0.007356441579759121	True	cis
(122, 124, 927)	1	0.9978383	False	1	0.3333333333333333	0	chr1:122000000-123000000	chr1:124000000-125000000	chr5:45000000-46000000		0.007356441579759121	False	0.012637042440474033	0.0012353004098129756	True		0.0012353004098129756	False	trans
(338, 1296, 1297)	1	0.9978307	False	1	0.3333333333333333	0	chr2:89000000-90000000	chr7:61000000-62000000	chr7:62000000-63000000		0.0012353004098129756	False	0.009265181608498096	0.0012353004098129756	True		0.007356441579759121	False	trans
(332, 339, 343)	1	0.9978175	False	0	0.0	0	chr2:83000000-84000000	chr2:90000000-91000000	chr2:94000000-95000000		0.007356441579759121	False	0.005696211941540241	0.007356441579759121	False		0.007356441579759121	False	cis
(1289, 1292, 1296)	1	0.9978131	False	1	0.3333333333333333	0	chr7:54000000-55000000	chr7:57000000-58000000	chr7:61000000-62000000	0.020723829045891762	0.007356441579759121	True		0.007356441579759121	False		0.007356441579759121	False	cis
(329, 339, 341)	1	0.9978042	False	0	0.0	0	chr2:80000000-81000000	chr2:90000000-91000000	chr2:92000000-93000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(2687, 2689, 2852)	1	0.9978035	False	0	0.0	0	chr19:22000000-23000000	chr19:24000000-25000000	chr22:16000000-17000000		0.007356441579759121	False	0.0008295347215607762	0.0012353004098129756	False		0.0012353004098129756	False	trans
(1539, 1540, 1878)	1	0.99780077	False	1	0.3333333333333333	0	chr8:144000000-145000000	chr8:145000000-146000000	chr11:64000000-65000000		0.007356441579759121	False	0.002087090164422989	0.0012353004098129756	True		0.0012353004098129756	False	trans
