n1,n2,n3,max_dis,n1_bin,n2_bin,n3_bin,gm12878_prob,k562_prob,n1_gene,n2_gene,n3_gene,n1_gm12878_h3k4me1_peak_num,n2_gm12878_h3k4me1_peak_num,n3_gm12878_h3k4me1_peak_num,n1_k562_h3k4me1_peak_num,n2_k562_h3k4me1_peak_num,n3_k562_h3k4me1_peak_num,GM12878_loop_num,K562_loop_num,GM12878_fithic2_loop_num,K562_fithic2_loop_num
938,951,962,24,chr8_144690000-144695000,chr8_144755000-144760000,chr8_144810000-144815000,0.33706677,0.87223995,,ZNF251,,0,0,0,3,1,0,0,0,0.0,2.0
811,818,860,49,chr8_144055000-144060000,chr8_144090000-144095000,chr8_144300000-144305000,0.43810636,0.989917,,CYC1,,0,0,0,2,2,0,0,0,0.0,2.0
945,970,994,49,chr8_144725000-144730000,chr8_144850000-144855000,chr8_144970000-144975000,0.3281513,0.9428541,,COMMD5,,0,0,0,0,1,0,0,0,0.0,2.0
911,996,1010,99,chr8_144555000-144560000,chr8_144980000-144985000,chr8_145050000-145055000,0.37906966,0.682223,,,C8orf33,0,0,0,0,0,4,0,0,0.0,2.0
429,486,565,136,chr9_122145000-122150000,chr9_122430000-122435000,chr9_122825000-122830000,0.44931197,0.651615,,,PDCL,0,0,0,1,0,2,0,0,0.0,2.0
1881,1895,1921,40,chr9_129405000-129410000,chr9_129475000-129480000,chr9_129605000-129610000,0.12775981,0.50686747,,,NTMT1,0,0,0,4,2,1,0,0,0.0,2.0
1641,1653,1940,299,chr9_128205000-128210000,chr9_128265000-128270000,chr9_129700000-129705000,0.024956504,0.9792251,CIZ1,,,0,0,0,2,0,0,0,0,0.0,3.0
1644,1939,1965,321,chr9_128220000-128225000,chr9_129695000-129700000,chr9_129825000-129830000,0.027103318,0.5221096,,,TOR1A,0,0,0,0,0,1,0,0,0.0,2.0
1656,1733,1965,309,chr9_128280000-128285000,chr9_128665000-128670000,chr9_129825000-129830000,0.32992238,0.8130121,,,TOR1A,0,0,0,1,1,1,0,0,0.0,2.0
1692,1733,1965,273,chr9_128460000-128465000,chr9_128665000-128670000,chr9_129825000-129830000,0.01497132,0.9637801,,,TOR1A,0,0,0,0,1,1,0,0,0.0,2.0
1641,1736,1941,300,chr9_128205000-128210000,chr9_128680000-128685000,chr9_129705000-129710000,0.04231919,0.98293614,CIZ1,SET,,0,0,0,2,1,0,0,0,0.0,3.0
1674,1692,1723,49,chr9_128370000-128375000,chr9_128460000-128465000,chr9_128615000-128620000,0.12067586,0.59026426,URM1,,,0,0,0,2,0,0,0,0,0.0,2.0
1645,1965,1971,326,chr9_128225000-128230000,chr9_129825000-129830000,chr9_129855000-129860000,0.0649928,0.9020149,,TOR1A,,0,0,0,0,1,3,0,0,0.0,2.0
2095,2115,2130,35,chr9_130475000-130480000,chr9_130575000-130580000,chr9_130650000-130655000,0.02579999,0.62966806,,FUBP3,,0,0,0,0,1,0,0,0,0.0,2.0
2034,2107,2135,101,chr9_130170000-130175000,chr9_130535000-130540000,chr9_130675000-130680000,0.07784438,0.78194445,NCS1,,,0,0,0,0,3,0,0,0,0.0,2.0
2481,2502,2563,82,chr9_132405000-132410000,chr9_132510000-132515000,chr9_132815000-132820000,0.08854308,0.97983885,TTF1;CFAP77,,,0,0,0,2,0,0,0,0,0.0,2.0
2642,2652,2666,24,chr9_133210000-133215000,chr9_133260000-133265000,chr9_133330000-133335000,0.017538399,0.8196909,OBP2B,,,0,0,0,0,1,1,0,0,0.0,3.0
963,972,1072,109,chr10_4815000-4820000,chr10_4860000-4865000,chr10_5360000-5365000,0.09752436,0.55907845,,,UCN3,0,0,0,2,1,0,0,0,0.0,2.0
977,1005,1082,105,chr10_4885000-4890000,chr10_5025000-5030000,chr10_5410000-5415000,0.06390086,0.92049193,,,NET1,0,0,0,0,0,2,0,0,0.0,2.0
3378,3392,3440,62,chr10_16890000-16895000,chr10_16960000-16965000,chr10_17200000-17205000,0.011613136,0.8228397,,,TRDMT1,0,0,0,1,0,1,0,0,0.0,2.0
1310,1576,1583,273,chr10_46550000-46555000,chr10_47880000-47885000,chr10_47915000-47920000,0.06720528,0.84981567,,,NPY4R2,0,0,0,1,0,0,0,0,0.0,2.0
1794,1823,1878,84,chr10_48970000-48975000,chr10_49115000-49120000,chr10_49390000-49395000,0.4063459,0.9678631,,VSTM4,,0,0,0,0,3,0,0,0,0.0,2.0
2113,2134,2147,34,chr10_70565000-70570000,chr10_70670000-70675000,chr10_70735000-70740000,0.20327798,0.72489065,,ADAMTS14,,0,0,0,0,2,2,0,0,0.0,3.0
2113,2134,2159,46,chr10_70565000-70570000,chr10_70670000-70675000,chr10_70795000-70800000,0.35360643,0.97252005,,ADAMTS14,,0,0,0,0,2,1,0,0,0.0,2.0
2104,2242,2254,150,chr10_70520000-70525000,chr10_71210000-71215000,chr10_71270000-71275000,0.3917609,0.98939425,,UNC5B,,0,0,0,0,0,2,0,0,0.0,2.0
2114,2134,2161,47,chr10_70570000-70575000,chr10_70670000-70675000,chr10_70805000-70810000,0.4781526,0.9691989,,ADAMTS14,,0,0,0,1,2,0,0,0,0.0,2.0
2847,2964,2990,143,chr10_74235000-74240000,chr10_74820000-74825000,chr10_74950000-74955000,0.027492343,0.5632101,,KAT6B,,0,0,0,2,2,0,0,0,0.0,2.0
3092,3104,3112,20,chr10_95460000-95465000,chr10_95520000-95525000,chr10_95560000-95565000,0.089335315,0.5591313,,,SORBS1,0,0,0,0,0,2,0,0,0.0,2.0
1012,1120,1183,171,chr11_5060000-5065000,chr11_5600000-5605000,chr11_5915000-5920000,0.014885296,0.88178855,OR52E2,,,0,0,0,0,1,0,0,0,0.0,2.0
3204,3240,3322,118,chr11_16020000-16025000,chr11_16200000-16205000,chr11_16610000-16615000,0.10443363,0.8921918,,,C11orf58,0,0,0,0,0,1,0,0,0.0,2.0
484,516,552,68,chr11_62420000-62425000,chr11_62580000-62585000,chr11_62760000-62765000,0.03136689,0.9632081,,,POLR2G,0,0,0,2,0,1,0,0,0.0,2.0
480,525,565,85,chr11_62400000-62405000,chr11_62625000-62630000,chr11_62825000-62830000,0.35130674,0.9866303,SCGB1A1,,,0,0,0,3,0,0,0,0,0.0,2.0
526,552,560,34,chr11_62630000-62635000,chr11_62760000-62765000,chr11_62800000-62805000,0.023988387,0.9148038,,POLR2G,,0,0,0,0,1,2,0,0,0.0,2.0
1281,1375,1401,120,chr11_66405000-66410000,chr11_66875000-66880000,chr11_67005000-67010000,0.011637529,0.93926376,,,SYT12,0,0,0,2,1,1,0,0,0.0,2.0
1301,1323,1332,31,chr11_66505000-66510000,chr11_66615000-66620000,chr11_66660000-66665000,0.015789384,0.98266417,CTD-3074O7.11;BBS1,RBM14;RBM14-RBM4,,0,0,0,0,3,1,0,0,0.0,2.0
1261,1286,1401,140,chr11_66305000-66310000,chr11_66430000-66435000,chr11_67005000-67010000,0.21035329,0.8879447,,,SYT12,0,0,0,1,1,1,0,0,0.0,2.0
1733,1814,1961,228,chr11_68665000-68670000,chr11_69070000-69075000,chr11_69805000-69810000,0.030826805,0.79089725,,RP11-554A11.11,,0,0,0,0,1,0,0,0,0.0,2.0
1776,1814,1933,157,chr11_68880000-68885000,chr11_69070000-69075000,chr11_69665000-69670000,0.08062183,0.63604045,,RP11-554A11.11,,0,0,0,0,1,0,0,0,0.0,2.0
1858,1874,1922,64,chr11_69290000-69295000,chr11_69370000-69375000,chr11_69610000-69615000,0.040385216,0.6732799,MYEOV,,,0,0,0,2,0,0,0,0,0.0,2.0
2763,2769,2775,12,chr11_73815000-73820000,chr11_73845000-73850000,chr11_73875000-73880000,0.20173624,0.92444396,,,PAAF1;COA4,0,0,0,0,0,2,0,0,0.0,2.0
2849,2893,2918,69,chr11_74245000-74250000,chr11_74465000-74470000,chr11_74590000-74595000,0.081892155,0.9722145,,KCNE3,,0,0,0,0,3,0,0,0,0.0,2.0
3868,3894,3974,106,chr11_119340000-119345000,chr11_119470000-119475000,chr11_119870000-119875000,0.18849963,0.710717,C1QTNF5,,,0,0,0,0,1,0,0,0,0.0,2.0
567,592,769,202,chr12_2835000-2840000,chr12_2960000-2965000,chr12_3845000-3850000,0.3553172,0.9846318,NRIP2,,,0,0,0,0,4,0,0,0,0.0,2.0
2416,2471,2756,340,chr12_12080000-12085000,chr12_12355000-12360000,chr12_13780000-13785000,0.11598925,0.7718135,,BORCS5,,0,0,0,1,3,0,0,0,0.0,2.0
2152,2230,2244,92,chr12_50760000-50765000,chr12_51150000-51155000,chr12_51220000-51225000,0.14634849,0.5138661,ATF1,,,0,0,0,1,0,1,0,0,0.0,2.0
2100,2153,2257,157,chr12_50500000-50505000,chr12_50765000-50770000,chr12_51285000-51290000,0.21661276,0.8396119,DIP2B,,,0,0,0,1,2,0,0,0,0.0,2.0
2452,2521,2570,118,chr12_52260000-52265000,chr12_52605000-52610000,chr12_52850000-52855000,0.036286004,0.9865819,,,KRT78,0,0,0,0,1,0,0,0,0.0,2.0
2480,2523,2541,61,chr12_132400000-132405000,chr12_132615000-132620000,chr12_132705000-132710000,0.026545271,0.9728661,,P2RX2,PGAM5,0,0,0,0,0,1,0,0,0.0,2.0
2591,2625,2652,61,chr12_132955000-132960000,chr12_133125000-133130000,chr12_133260000-133265000,0.03997032,0.906291,CHFR;ZNF605,ZNF10,,0,0,0,1,0,0,0,0,0.0,2.0
119,159,168,49,chr15_40595000-40600000,chr15_40795000-40800000,chr15_40840000-40845000,0.022502722,0.70634794,,,SPINT1,0,0,0,1,0,0,0,0,0.0,2.0
465,703,738,273,chr15_42325000-42330000,chr15_43515000-43520000,chr15_43690000-43695000,0.04162057,0.6577143,,,CKMT1A,0,0,0,0,2,0,0,0,0.0,2.0
666,671,740,74,chr15_43330000-43335000,chr15_43355000-43360000,chr15_43700000-43705000,0.09119955,0.9635786,LCMT2,,,0,0,0,1,0,0,0,0,0.0,2.0
414,431,493,79,chr15_42070000-42075000,chr15_42155000-42160000,chr15_42465000-42470000,0.44597462,0.666886,,PLA2G4F,,0,0,0,0,2,0,0,0,0.0,2.0
3064,3116,3129,65,chr15_75320000-75325000,chr15_75580000-75585000,chr15_75645000-75650000,0.017323783,0.85970986,,PTPN9,SNX33;IMP3,0,0,0,0,1,2,0,0,0.0,2.0
168,219,258,90,chr16_840000-845000,chr16_1095000-1100000,chr16_1290000-1295000,0.21618809,0.971849,,C1QTNF8,,0,0,0,0,0,2,0,0,0.0,2.0
161,219,250,89,chr16_805000-810000,chr16_1095000-1100000,chr16_1250000-1255000,0.21478683,0.9349321,,C1QTNF8,,0,0,0,1,0,0,0,0,0.0,2.0
911,989,1156,245,chr16_4555000-4560000,chr16_4945000-4950000,chr16_5780000-5785000,0.20740722,0.9719153,C16orf96,,,0,0,0,0,1,0,0,0,0.0,2.0
2966,3115,3138,172,chr16_14830000-14835000,chr16_15575000-15580000,chr16_15690000-15695000,0.08035081,0.7988191,NOMO1,,,0,0,0,0,3,0,0,0,0.0,2.0
232,264,269,37,chr16_21160000-21165000,chr16_21320000-21325000,chr16_21345000-21350000,0.3771911,0.8772038,DNAH3,,,0,0,0,1,0,0,0,0,0.0,2.0
2101,2124,2136,35,chr16_30505000-30510000,chr16_30620000-30625000,chr16_30680000-30685000,0.47401214,0.88781905,,ZNF689,,0,0,0,0,1,0,0,0,0.0,2.0
1682,1757,1862,180,chr16_68410000-68415000,chr16_68785000-68790000,chr16_69310000-69315000,0.05750359,0.98653257,,,VPS4A,0,0,0,0,0,2,0,0,0.0,2.0
2575,2760,2788,213,chr17_32875000-32880000,chr17_33800000-33805000,chr17_33940000-33945000,0.11407869,0.96452355,MYO1D,,,0,0,0,2,0,4,0,0,0.0,2.0
2844,2931,3024,180,chr17_34220000-34225000,chr17_34655000-34660000,chr17_35120000-35125000,0.29667446,0.8805929,,,FNDC8;RP5-837J1.3;RAD51D,0,0,0,0,0,1,0,0,0.0,2.0
3751,3793,3822,71,chr17_38755000-38760000,chr17_38965000-38970000,chr17_39110000-39115000,0.17040795,0.92622167,,FBXO47,,0,0,0,0,0,1,0,0,0.0,2.0
129,159,330,201,chr17_40645000-40650000,chr17_40795000-40800000,chr17_41650000-41655000,0.0105625875,0.5947391,SMARCE1,,,0,0,0,3,0,0,0,0,0.0,2.0
152,170,301,149,chr17_40760000-40765000,chr17_40850000-40855000,chr17_41505000-41510000,0.051305607,0.9692094,,,KRT13,0,0,0,0,2,2,0,0,0.0,2.0
133,189,275,142,chr17_40665000-40670000,chr17_40945000-40950000,chr17_41375000-41380000,0.07670781,0.7513521,RP5-1028K7.3;KRT222,,,0,0,0,1,0,0,0,0,0.0,2.0
167,306,314,147,chr17_40835000-40840000,chr17_41530000-41535000,chr17_41570000-41575000,0.17262596,0.9804411,,,KRT9,0,0,0,1,4,0,0,0,0.0,2.0
127,263,310,183,chr17_40635000-40640000,chr17_41315000-41320000,chr17_41550000-41555000,0.011756649,0.68609804,,KRTAP17-1,,0,0,0,0,0,1,0,0,0.0,2.0
568,575,594,26,chr17_42840000-42845000,chr17_42875000-42880000,chr17_42970000-42975000,0.049740218,0.92363995,AOC2,,,0,0,0,0,1,0,0,0,0.0,2.0
1738,1757,1781,43,chr17_48690000-48695000,chr17_48785000-48790000,chr17_48905000-48910000,0.23880549,0.86891174,,,UBE2Z,0,0,0,0,0,1,0,0,0.0,2.0
29,93,140,111,chr17_60145000-60150000,chr17_60465000-60470000,chr17_60700000-60705000,0.020425491,0.8250305,CA4,,,0,0,0,0,1,1,0,0,0.0,2.0
2986,2995,3024,38,chr17_74930000-74935000,chr17_74975000-74980000,chr17_75120000-75125000,0.045667045,0.5030226,OTOP3,,,0,0,0,2,1,2,0,0,0.0,2.0
108,118,159,51,chr17_80540000-80545000,chr17_80590000-80595000,chr17_80795000-80800000,0.056946818,0.88261914,RPTOR,,,0,0,0,0,2,0,0,0,0.0,2.0
228,254,305,77,chr17_81140000-81145000,chr17_81270000-81275000,chr17_81525000-81530000,0.09897548,0.73816663,,,FSCN2,0,0,0,2,0,0,0,0,0.0,2.0
18,73,119,101,chr18_90000-95000,chr18_365000-370000,chr18_595000-600000,0.05978546,0.8148605,,,CLUL1,0,0,0,0,0,1,0,0,0.0,2.0
565,619,644,79,chr18_2825000-2830000,chr18_3095000-3100000,chr18_3220000-3225000,0.42688978,0.9860811,,,MYOM1,0,0,0,1,0,1,0,0,0.0,2.0
1729,1866,1920,191,chr18_8645000-8650000,chr18_9330000-9335000,chr18_9600000-9605000,0.32582843,0.81903875,,TWSG1,,0,0,0,0,1,0,0,0,0.0,2.0
2456,2466,2531,75,chr18_12280000-12285000,chr18_12330000-12335000,chr18_12655000-12660000,0.013384333,0.67184746,,,PSMG2;SPIRE1,0,0,0,2,0,1,0,0,0.0,2.0
313,322,363,50,chr18_21565000-21570000,chr18_21610000-21615000,chr18_21815000-21820000,0.14004481,0.6244168,,SNRPD1,,0,0,0,0,1,0,0,0,0.0,2.0
3001,3075,3141,140,chr18_35005000-35010000,chr18_35375000-35380000,chr18_35705000-35710000,0.33032116,0.7745443,,ZNF396,,0,0,0,0,1,0,0,0,0.0,2.0
93,105,117,24,chr19_465000-470000,chr19_525000-530000,chr19_585000-590000,0.20442992,0.500575,,,HCN2,0,0,0,0,0,1,0,0,0.0,2.0
104,144,171,67,chr19_520000-525000,chr19_720000-725000,chr19_855000-860000,0.41864246,0.75062877,,,CFD,0,0,0,0,0,1,0,0,0.0,2.0
141,148,180,39,chr19_705000-710000,chr19_740000-745000,chr19_900000-905000,0.38333356,0.9825277,PALM,,,0,0,0,1,2,5,0,0,0.0,2.0
120,153,159,39,chr19_600000-605000,chr19_765000-770000,chr19_795000-800000,0.011041107,0.8039872,,,PTBP1,0,0,0,0,0,1,0,0,0.0,2.0
83,92,105,22,chr19_415000-420000,chr19_460000-465000,chr19_525000-530000,0.1576229,0.9673396,,SHC2,,0,0,0,0,1,0,0,0,0.0,2.0
141,148,170,29,chr19_705000-710000,chr19_740000-745000,chr19_850000-855000,0.10610017,0.84380484,PALM,,ELANE,0,0,0,1,2,2,0,0,0.0,2.0
647,654,740,93,chr19_3235000-3240000,chr19_3270000-3275000,chr19_3700000-3705000,0.01757951,0.5947589,,,PIP5K1C,0,0,0,1,0,1,0,0,0.0,2.0
579,598,614,35,chr19_2895000-2900000,chr19_2990000-2995000,chr19_3070000-3075000,0.02204691,0.7663885,ZNF57,,,0,0,0,0,0,2,0,0,0.0,2.0
858,881,903,45,chr19_4290000-4295000,chr19_4405000-4410000,chr19_4515000-4520000,0.035672538,0.9692106,,,PLIN4,0,0,0,0,1,0,0,0,0.0,2.0
850,880,899,49,chr19_4250000-4255000,chr19_4400000-4405000,chr19_4495000-4500000,0.040355965,0.9534252,,SH3GL1;CHAF1A,,0,0,0,0,2,0,0,0,0.0,2.0
861,880,933,72,chr19_4305000-4310000,chr19_4400000-4405000,chr19_4665000-4670000,0.015245027,0.9454912,,SH3GL1;CHAF1A,,0,0,0,0,2,1,0,0,0.0,2.0
800,830,837,37,chr19_4000000-4005000,chr19_4150000-4155000,chr19_4185000-4190000,0.017509788,0.9731968,,CREB3L3,,0,0,0,0,1,1,0,0,0.0,2.0
1517,1552,1577,60,chr19_7585000-7590000,chr19_7760000-7765000,chr19_7885000-7890000,0.01093295,0.5635313,,CLEC4M,LRRC8E,0,0,0,0,2,2,0,0,0.0,2.0
1212,1219,1292,80,chr19_6060000-6065000,chr19_6095000-6100000,chr19_6460000-6465000,0.0111538125,0.91240025,,,CRB3,0,0,0,2,1,1,0,0,0.0,2.0
1256,1273,1339,83,chr19_6280000-6285000,chr19_6365000-6370000,chr19_6695000-6700000,0.036410995,0.92129385,MLLT1,,,0,0,0,0,0,1,0,0,0.0,2.0
1758,1811,1817,59,chr19_8790000-8795000,chr19_9055000-9060000,chr19_9085000-9090000,0.41646966,0.9799407,,,OR1M1,0,0,0,0,1,0,0,0,0.0,2.0
1847,1854,1958,111,chr19_9235000-9240000,chr19_9270000-9275000,chr19_9790000-9795000,0.01192894,0.98710686,,,ZNF846,0,0,0,0,0,2,0,0,0.0,2.0
1603,1687,1715,112,chr19_8015000-8020000,chr19_8435000-8440000,chr19_8575000-8580000,0.046273544,0.8378534,,,MYO1F,0,0,0,0,1,3,0,0,0.0,2.0
1735,1815,1823,88,chr19_8675000-8680000,chr19_9075000-9080000,chr19_9115000-9120000,0.08742385,0.72164875,,,OR7G1,0,0,0,0,2,2,0,0,0.0,2.0
1853,1958,1966,113,chr19_9265000-9270000,chr19_9790000-9795000,chr19_9830000-9835000,0.062148828,0.8263285,,ZNF846,PIN1,0,0,0,0,2,0,0,0,0.0,2.0
1720,1739,1815,95,chr19_8600000-8605000,chr19_8695000-8700000,chr19_9075000-9080000,0.11123106,0.7743059,,ACTL9,,0,0,0,0,0,2,0,0,0.0,2.0
1827,1845,1914,87,chr19_9135000-9140000,chr19_9225000-9230000,chr19_9570000-9575000,0.061438628,0.68669116,ZNF317,,,0,0,0,1,0,0,0,0,0.0,2.0
1827,1894,1912,85,chr19_9135000-9140000,chr19_9470000-9475000,chr19_9560000-9565000,0.032325473,0.7844225,ZNF317,,,0,0,0,1,0,0,0,0,0.0,2.0
1721,1766,1812,91,chr19_8605000-8610000,chr19_8830000-8835000,chr19_9060000-9065000,0.23930268,0.9751865,,MBD3L1;ZNF558,,0,0,0,1,2,0,0,0,0.0,2.0
1827,1916,1942,115,chr19_9135000-9140000,chr19_9580000-9585000,chr19_9710000-9715000,0.060876478,0.6229273,ZNF317,,,0,0,0,1,0,0,0,0,0.0,2.0
1739,1770,1803,64,chr19_8695000-8700000,chr19_8850000-8855000,chr19_9015000-9020000,0.19174653,0.73039085,ACTL9,,,0,0,0,0,0,1,0,0,0.0,2.0
1823,1888,1897,74,chr19_9115000-9120000,chr19_9440000-9445000,chr19_9485000-9490000,0.17592818,0.95996106,OR7G1,,,0,0,0,2,0,0,0,0,0.0,2.0
2245,2298,2306,61,chr19_11225000-11230000,chr19_11490000-11495000,chr19_11530000-11535000,0.01431255,0.977127,,,ECSIT,0,0,0,1,0,1,0,0,0.0,2.0
2467,2511,2521,54,chr19_12335000-12340000,chr19_12555000-12560000,chr19_12605000-12610000,0.26928163,0.6848999,,,ZNF791,0,0,0,0,0,1,0,0,0.0,2.0
2818,2904,3088,270,chr19_14090000-14095000,chr19_14520000-14525000,chr19_15440000-15445000,0.059881452,0.6751938,SAMD1,,,0,0,0,1,3,0,0,0,0.0,2.0
2949,2978,3101,152,chr19_14745000-14750000,chr19_14890000-14895000,chr19_15505000-15510000,0.475457,0.8694897,,,CYP4F22,0,0,0,0,3,0,0,0,0.0,2.0
3534,3571,3581,47,chr19_17670000-17675000,chr19_17855000-17860000,chr19_17905000-17910000,0.40939683,0.9386466,,RPL18A,,0,0,0,1,0,0,0,0,0.0,2.0
3494,3537,3567,73,chr19_17470000-17475000,chr19_17685000-17690000,chr19_17835000-17840000,0.47286618,0.87936836,,UNC13A,,0,0,0,2,0,0,0,0,0.0,2.0
3709,3746,3771,62,chr19_18545000-18550000,chr19_18730000-18735000,chr19_18855000-18860000,0.02339402,0.604343,FKBP8,,,0,0,0,1,1,0,0,0,0.0,2.0
3702,3709,3715,13,chr19_18510000-18515000,chr19_18545000-18550000,chr19_18575000-18580000,0.023179213,0.87311286,,FKBP8,,0,0,0,1,1,0,0,0,0.0,2.0
3251,3348,3538,287,chr19_36255000-36260000,chr19_36740000-36745000,chr19_37690000-37695000,0.45809558,0.8738786,,,ZNF781;ZFP30,0,0,0,0,0,1,0,0,0.0,2.0
